"variable","iteration","chain","mean"
"age1","5","Chain 3",NA
"age2","5","Chain 3",NA
"age3","5","Chain 3",NA
"sex","5","Chain 3",NA
"race","5","Chain 3",NA
"education","5","Chain 3",5
"pir","5","Chain 3",4.80776374919752
"smoke","5","Chain 3",1.86792452830189
"cycle","5","Chain 3",NA
"stratum","5","Chain 3",NA
"psu","5","Chain 3",NA
"logweight","5","Chain 3",NA
"ra","6","Chain 3",NA
"asthma_aux","6","Chain 3",NA
"age1","6","Chain 3",NA
"age2","6","Chain 3",NA
"age3","6","Chain 3",NA
"sex","6","Chain 3",NA
"race","6","Chain 3",NA
"education","6","Chain 3",5
"pir","6","Chain 3",4.72012625722234
"smoke","6","Chain 3",1.64150943396226
"cycle","6","Chain 3",NA
"stratum","6","Chain 3",NA
"psu","6","Chain 3",NA
"logweight","6","Chain 3",NA
"ra","7","Chain 3",NA
"asthma_aux","7","Chain 3",NA
"age1","7","Chain 3",NA
"age2","7","Chain 3",NA
"age3","7","Chain 3",NA
"sex","7","Chain 3",NA
"race","7","Chain 3",NA
"education","7","Chain 3",2.26744186046512
"pir","7","Chain 3",0.768247378557683
"smoke","7","Chain 3",1.9811320754717
"cycle","7","Chain 3",NA
"stratum","7","Chain 3",NA
"psu","7","Chain 3",NA
"logweight","7","Chain 3",NA
"ra","8","Chain 3",NA
"asthma_aux","8","Chain 3",NA
"age1","8","Chain 3",NA
"age2","8","Chain 3",NA
"age3","8","Chain 3",NA
"sex","8","Chain 3",NA
"race","8","Chain 3",NA
"education","8","Chain 3",5
"pir","8","Chain 3",4.80633426064627
"smoke","8","Chain 3",1
"cycle","8","Chain 3",NA
"stratum","8","Chain 3",NA
"psu","8","Chain 3",NA
"logweight","8","Chain 3",NA
"ra","9","Chain 3",NA
"asthma_aux","9","Chain 3",NA
"age1","9","Chain 3",NA
"age2","9","Chain 3",NA
"age3","9","Chain 3",NA
"sex","9","Chain 3",NA
"race","9","Chain 3",NA
"education","9","Chain 3",4.76744186046512
"pir","9","Chain 3",0.759642627862197
"smoke","9","Chain 3",1
"cycle","9","Chain 3",NA
"stratum","9","Chain 3",NA
"psu","9","Chain 3",NA
"logweight","9","Chain 3",NA
"ra","10","Chain 3",NA
"asthma_aux","10","Chain 3",NA
"age1","10","Chain 3",NA
"age2","10","Chain 3",NA
"age3","10","Chain 3",NA
"sex","10","Chain 3",NA
"race","10","Chain 3",NA
"education","10","Chain 3",1.24418604651163
"pir","10","Chain 3",0.774744275625944
"smoke","10","Chain 3",1
"cycle","10","Chain 3",NA
"stratum","10","Chain 3",NA
"psu","10","Chain 3",NA
"logweight","10","Chain 3",NA
"ra","1","Chain 4",NA
"asthma_aux","1","Chain 4",NA
"age1","1","Chain 4",NA
"age2","1","Chain 4",NA
"age3","1","Chain 4",NA
"sex","1","Chain 4",NA
"race","1","Chain 4",NA
"education","1","Chain 4",1.26744186046512
"pir","1","Chain 4",1.55299379413652
"smoke","1","Chain 4",1.18867924528302
"cycle","1","Chain 4",NA
"stratum","1","Chain 4",NA
"psu","1","Chain 4",NA
"logweight","1","Chain 4",NA
"ra","2","Chain 4",NA
"asthma_aux","2","Chain 4",NA
"age1","2","Chain 4",NA
"age2","2","Chain 4",NA
"age3","2","Chain 4",NA
"sex","2","Chain 4",NA
"race","2","Chain 4",NA
"education","2","Chain 4",5
"pir","2","Chain 4",0.770139096939878
"smoke","2","Chain 4",1
"cycle","2","Chain 4",NA
"stratum","2","Chain 4",NA
"psu","2","Chain 4",NA
"logweight","2","Chain 4",NA
"ra","3","Chain 4",NA
"asthma_aux","3","Chain 4",NA
"age1","3","Chain 4",NA
"age2","3","Chain 4",NA
"age3","3","Chain 4",NA
"sex","3","Chain 4",NA
"race","3","Chain 4",NA
"education","3","Chain 4",5
"pir","3","Chain 4",4.80676225123047
"smoke","3","Chain 4",1.69811320754717
"cycle","3","Chain 4",NA
"stratum","3","Chain 4",NA
"psu","3","Chain 4",NA
"logweight","3","Chain 4",NA
"ra","4","Chain 4",NA
"asthma_aux","4","Chain 4",NA
"age1","4","Chain 4",NA
"age2","4","Chain 4",NA
"age3","4","Chain 4",NA
"sex","4","Chain 4",NA
"race","4","Chain 4",NA
"education","4","Chain 4",4.8953488372093
"pir","4","Chain 4",4.79684784934731
"smoke","4","Chain 4",1.69811320754717
"cycle","4","Chain 4",NA
"stratum","4","Chain 4",NA
